SN,Symbol,LTP,LTV,Point Change,% Change,Open Price,High Price,Low Price,Avg Traded Price,Volume,Previous Closing
1,MCHL,643.30,100,4.30,0.67,639.00,650.00,639.00,643.60,"5,619",639.00
2,HLI,479.40,80,-0.60,-0.13,482.00,484.00,474.00,480.02,"32,829",480.00
3,GHL,208.30,30,-1.70,-0.81,212.00,214.00,208.30,211.05,"28,084",210.00
4,JFL,473.00,125,-36.00,-7.07,504.00,505.00,473.00,489.79,"108,483",509.00
5,NICLBSL,653.20,10,-2.70,-0.41,657.00,659.90,650.10,654.13,"4,369",655.90
6,HURJA,235.10,425,-0.90,-0.38,238.00,239.00,234.20,237.17,"91,094",236.00
7,SPDL,340.00,"1,030",5.00,1.49,338.00,343.90,336.10,339.78,"105,693",335.00
8,NICA,366.00,10,-3.80,-1.03,369.00,371.80,364.30,366.90,"40,925",369.80
9,ADBL,289.00,350,5.00,1.76,287.50,289.60,285.00,288.48,"21,760",284.00
10,NRM,520.00,10,15.00,2.97,505.00,522.60,505.00,514.68,"113,408",505.00
11,TAMOR,598.10,100,-1.90,-0.32,602.00,613.00,596.10,605.85,"85,051",600.00
12,BGWT,"1,064.00",10,-3.90,-0.37,"1,046.60","1,085.00","1,046.60","1,065.60","12,881","1,067.90"
13,NIMB,211.60,200,0.00,0.00,214.00,214.90,211.20,212.78,"49,293",211.60
14,NRIC,899.00,40,-21.00,-2.28,938.40,938.40,891.00,901.22,"66,528",920.00
15,ACLBSL,"1,044.00",10,7.00,0.68,"1,024.00","1,044.00","1,024.00","1,041.30","2,619","1,037.00"
16,MEL,358.50,10,1.40,0.39,364.00,364.00,356.50,359.96,"40,775",357.10
17,MEHL,552.60,30,-10.10,-1.79,563.00,569.00,550.00,560.13,"41,595",562.70
18,BHPL,"1,005.20",10,-34.80,-3.35,"1,040.00","1,040.00",998.90,"1,008.03","14,761","1,040.00"
19,JBLB,"1,344.00",20,-11.00,-0.81,"1,355.00","1,375.00","1,342.50","1,351.25","2,063","1,355.00"
20,HBL,227.00,10,-2.00,-0.87,232.00,233.00,225.00,228.01,"21,501",229.00
21,NHPC,221.10,90,-0.80,-0.36,224.30,225.90,220.00,222.68,"58,345",221.90
22,FMDBL,723.00,80,-2.00,-0.28,732.00,735.80,722.30,727.50,"1,910",725.00
23,KSBBL,443.00,428,-3.00,-0.67,451.00,452.00,440.00,442.75,"18,017",446.00
24,HRL,864.00,10,-12.00,-1.37,880.00,881.00,856.10,867.59,"118,477",876.00
25,UNHPL,321.50,"1,500",-3.80,-1.17,331.80,333.40,321.00,326.07,"85,980",325.30
26,CITY,921.10,10,-8.40,-0.90,935.00,944.00,921.00,925.98,"5,026",929.50
27,CLI,735.00,100,24.50,3.45,710.00,744.90,703.30,727.09,"156,008",710.50
28,RNLI,531.10,11,4.30,0.82,527.00,534.00,521.20,527.24,"29,193",526.80
29,CIT,"2,000.00",50,-9.00,-0.45,"2,010.00","2,012.00","1,993.00","2,001.10","2,109","2,009.00"
30,BARUN,446.20,10,0.20,0.04,454.90,454.90,446.00,449.25,"56,437",446.00
31,PFL,383.00,100,-15.90,-3.99,398.90,405.00,380.00,390.67,"120,449",398.90
32,CBBL,853.00,50,-1.00,-0.12,870.90,870.90,851.00,855.30,"4,253",854.00
33,SNLI,651.10,124,9.10,1.42,640.00,658.00,638.70,648.30,"28,323",642.00
34,PMLI,589.10,12,-0.90,-0.15,591.00,600.00,585.00,591.69,"25,959",590.00
35,SAHAS,486.10,40,-4.90,-1.00,491.60,492.90,485.10,488.95,"109,305",491.00
36,ILI,490.40,12,-1.70,-0.35,492.00,499.00,483.20,491.97,"22,896",492.10
37,MANDU,973.10,20,6.10,0.63,965.00,984.90,940.00,959.14,"8,725",967.00
38,HDL,"1,179.00",11,-2.00,-0.17,"1,204.60","1,204.60","1,178.00","1,183.52","11,730","1,181.00"
39,MEN,603.20,50,0.50,0.08,609.00,612.00,602.60,607.27,"20,450",602.70
40,IHL,756.00,30,1.00,0.13,755.00,769.00,751.00,756.99,"22,094",755.00
41,SMATA,843.00,20,-14.90,-1.74,845.00,860.00,838.20,843.97,"1,161",857.90
42,JOSHI,417.00,300,-10.00,-2.34,430.00,430.00,416.60,421.44,"27,811",427.00
43,SLBSL,"2,197.90",40,199.80,10.00,"1,998.10","2,197.90","1,806.40","2,146.78","29,181","1,998.10"
44,VLBS,821.00,14,-4.00,-0.48,831.40,835.00,820.00,823.36,470,825.00
45,GRDBL,"1,451.00",245,52.10,3.72,"1,397.90","1,498.70","1,371.00","1,464.12","47,170","1,398.90"
