SN,Symbol,LTP,LTV,Point Change,% Change,Open Price,High Price,Low Price,Avg Traded Price,Volume,Previous Closing
1,MCHL,644.10,10,5.10,0.80,639.00,650.00,639.00,643.62,"6,189",639.00
2,RNLI,531.00,11,4.20,0.80,527.00,534.00,521.20,527.47,"33,321",526.80
3,NRN,"1,203.00",10,-4.80,-0.40,"1,231.90","1,231.90","1,193.00","1,209.92","121,645","1,207.80"
4,BEDC,775.00,300,21.50,2.85,768.50,780.00,760.10,773.08,"44,725",753.50
5,MANDU,980.00,18,13.00,1.34,965.00,984.90,940.00,961.79,"10,148",967.00
6,HURJA,237.00,600,1.00,0.42,238.00,239.00,234.20,237.05,"100,304",236.00
7,CORBL,"1,915.00",198,157.20,8.94,"1,792.90","1,924.00","1,775.00","1,874.59","38,936","1,757.80"
8,ENL,"1,225.00",119,4.00,0.33,"1,197.10","1,225.00","1,197.10","1,211.97","3,344","1,221.00"
9,MKJC,589.00,91,10.00,1.73,590.50,594.00,582.00,589.32,"40,300",579.00
10,EHPL,815.00,166,0.00,0.00,800.00,822.00,800.00,814.24,"7,680",815.00
11,CLI,737.00,10,26.50,3.73,710.00,744.90,703.30,728.02,"173,144",710.50
12,ILI,489.40,12,-2.70,-0.55,492.00,499.00,483.20,491.87,"24,084",492.10
13,SMPDA,907.00,10,-20.40,-2.20,908.90,963.00,902.60,916.93,"7,828",927.40
14,SRLI,429.00,11,-3.00,-0.69,433.30,437.00,427.70,432.27,"47,553",432.00
15,HPPL,520.00,526,15.00,2.97,494.90,523.00,494.90,511.28,"151,282",505.00
16,HIDCL,256.00,10,-1.00,-0.39,257.00,264.90,253.00,257.50,"133,045",257.00
17,JBLB,"1,349.80",10,-5.20,-0.38,"1,355.00","1,375.00","1,342.50","1,349.40","2,698","1,355.00"
18,CHL,459.80,10,1.80,0.39,448.90,466.00,448.90,455.44,"31,684",458.00
19,NRM,532.00,10,27.00,5.35,505.00,532.00,505.00,517.52,"155,200",505.00
20,PFL,385.00,12,-13.90,-3.48,398.90,405.00,380.00,389.47,"137,670",398.90
21,TAMOR,601.00,10,1.00,0.17,602.00,613.00,596.10,605.23,"92,914",600.00
22,NIFRA,268.00,74,2.00,0.75,269.00,272.00,264.00,268.88,"236,423",266.00
23,MBJC,357.00,10,-0.50,-0.14,355.20,362.30,353.00,358.91,"38,526",357.50
24,USHL,839.00,49,-11.00,-1.29,855.00,855.00,825.20,833.90,"2,324",850.00
25,NLICL,610.00,15,-3.00,-0.49,622.00,622.80,608.60,614.15,"22,539",613.00
26,NHPC,222.00,14,0.10,0.05,224.30,225.90,220.00,222.53,"64,082",221.90
27,TVCL,592.00,475,-9.00,-1.50,606.00,606.00,592.00,596.21,"33,079",601.00
28,DOLTI,883.00,10,-42.10,-4.55,906.60,"1,013.00",840.00,898.15,"127,851",925.10
29,SLBSL,"2,197.90",14,199.80,10.00,"1,998.10","2,197.90","1,806.40","2,151.67","32,267","1,998.10"
30,RURU,735.00,72,0.00,0.00,749.00,749.00,735.00,738.88,"9,665",735.00
31,GVL,552.10,10,1.10,0.20,551.00,558.00,545.00,551.55,"4,899",551.00
32,SINDU,"1,096.00",100,23.10,2.15,"1,072.50","1,119.00","1,072.50","1,100.68","96,436","1,072.90"
33,SNLI,653.10,50,11.10,1.73,640.00,658.00,638.70,650.19,"41,037",642.00
34,NGPL,286.30,100,18.30,6.83,270.00,290.60,270.00,281.40,"418,565",268.00
35,SAHAS,486.50,250,-4.50,-0.92,491.60,492.90,485.10,488.63,"124,767",491.00
36,NIBLSTF,8.40,200,-0.16,-1.87,8.56,8.56,8.40,8.48,"1,300",8.56
37,GFCL,728.90,30,1.90,0.26,727.00,740.00,715.50,730.98,"15,625",727.00
38,DHPL,311.30,200,-5.50,-1.74,316.00,319.90,310.60,313.77,"18,045",316.80
39,SHEL,255.00,90,4.40,1.76,252.00,255.60,250.40,253.94,"168,099",250.60
40,PMHPL,298.00,50,-1.00,-0.33,302.00,308.00,298.00,302.45,"34,956",299.00
41,DLBS,"2,020.00",10,120.00,6.32,"1,862.00","2,090.00","1,862.00","1,975.14","9,906","1,900.00"
42,SPIL,827.00,17,-1.60,-0.19,821.00,844.00,821.00,823.81,"4,280",828.60
43,NLG,"1,099.50",750,1.50,0.14,"1,104.50","1,105.00","1,085.00","1,091.46","131,344","1,098.00"
44,GCIL,505.00,11,-4.10,-0.81,509.10,513.90,505.00,508.74,"22,583",509.10
45,SJLIC,458.40,10,-1.10,-0.24,458.00,466.10,455.00,460.45,"17,680",459.50
46,RFPL,"1,073.90",150,-67.10,-5.88,"1,118.20","1,185.00","1,045.80","1,085.97","51,177","1,141.00"
47,CHDC,"1,835.20",19,-15.80,-0.85,"1,851.00","1,880.00","1,815.00","1,842.33","58,971","1,851.00"
48,NWCL,"1,015.00",10,-15.20,-1.48,"1,049.00","1,049.00",999.00,"1,009.62","5,887","1,030.20"
49,GMFBS,"1,776.00",14,9.00,0.51,"1,760.00","1,790.00","1,760.00","1,782.95","2,655","1,767.00"
50,GBIME,223.00,10,0.00,0.00,222.00,225.40,222.00,223.34,"35,197",223.00
51,NFS,757.20,20,-23.80,-3.05,766.00,790.00,755.10,772.30,"45,569",781.00
52,SAPDBL,"1,349.10",50,-15.90,-1.16,"1,390.00","1,474.20","1,301.00","1,365.06","131,911","1,365.00"
53,NYADI,600.00,39,-5.00,-0.83,592.90,609.00,592.90,602.15,"78,894",605.00
54,PMLI,590.00,20,0.00,0.00,591.00,600.00,585.00,591.58,"27,474",590.00
55,API,276.00,98,0.00,0.00,270.50,280.00,270.50,276.77,"127,328",276.00
56,TPC,564.00,100,-8.50,-1.48,570.00,581.40,563.00,570.27,"34,268",572.50
57,NICLBSL,654.00,10,-1.90,-0.29,657.00,659.90,650.10,654.10,"4,559",655.90
58,NABBC,"1,147.30",990,25.20,2.25,"1,100.50","1,206.80","1,100.50","1,151.00","58,089","1,122.10"
59,JFL,480.70,200,-28.30,-5.56,504.00,505.00,471.00,487.44,"129,766",509.00
60,UPPER,202.70,10,-2.20,-1.07,205.00,206.90,202.40,204.44,"75,381",204.90
61,SPDL,339.00,170,4.00,1.19,338.00,343.90,336.10,339.73,"139,932",335.00
62,MKCL,"1,525.00",10,-35.00,-2.24,"1,560.00","1,560.00","1,520.00","1,533.69","3,736","1,560.00"
63,MEL,356.10,10,-1.00,-0.28,364.00,364.00,356.00,359.18,"54,935",357.10
64,PHCL,573.10,40,-11.60,-1.98,596.30,596.30,568.40,576.16,"36,487",584.70
65,NABIL,488.00,10,2.00,0.41,490.00,492.00,486.00,489.00,"34,055",486.00
66,SKBBL,816.00,10,-1.00,-0.12,833.30,833.30,812.00,815.87,"6,411",817.00
67,SMHL,"1,250.40",50,-135.60,-9.78,"1,358.30","1,358.30","1,250.20","1,256.80","36,235","1,386.00"
68,KBL,200.50,10,-1.50,-0.74,198.00,205.00,198.00,201.90,"122,245",202.00
69,SIKLES,998.00,810,83.00,9.07,920.00,998.00,915.30,969.56,"77,160",915.00
70,NICA,366.00,50,-3.80,-1.03,369.00,371.80,364.30,366.85,"43,982",369.80
71,SSHL,231.00,382,-2.00,-0.86,234.00,237.00,231.00,233.78,"34,905",233.00
72,SHIVM,553.20,10,-2.10,-0.38,556.10,560.00,550.50,555.12,"57,168",555.30
73,GMFIL,486.00,50,0.90,0.19,485.10,494.00,484.00,486.36,"16,806",485.10
74,UPCL,290.50,10,2.50,0.87,289.10,295.00,288.00,291.45,"98,496",288.00
75,UNLB,"2,614.10",40,-75.90,-2.82,"2,638.00","2,689.00","2,614.00","2,629.52","2,810","2,690.00"
76,SGHC,565.00,10,10.00,1.80,555.00,570.00,555.00,561.13,"22,172",555.00
77,GLH,255.00,64,-0.40,-0.16,257.80,257.80,253.20,255.07,"39,968",255.40
78,MHL,979.20,50,-108.80,-10.00,"1,066.30","1,066.30",979.20,980.24,"13,049","1,088.00"
79,UMHL,339.20,400,-5.50,-1.60,337.90,348.00,337.90,341.89,"56,270",344.70
80,HRL,864.00,10,-12.00,-1.37,880.00,881.00,856.10,866.78,"136,875",876.00
81,SMATA,840.50,20,-17.40,-2.03,845.00,860.00,838.20,843.27,"2,024",857.90
82,SBL,282.00,86,-2.90,-1.02,285.00,290.00,279.30,282.13,"32,101",284.90
83,SJCL,358.00,40,-1.90,-0.53,360.00,362.80,356.00,358.69,"12,547",359.90
84,VLUCL,772.00,10,42.00,5.75,715.40,774.90,715.40,759.37,"102,506",730.00
85,HIDCLP,169.90,649,-1.10,-0.64,172.00,180.00,169.00,171.96,"374,026",171.00
86,BHL,375.00,110,-2.30,-0.61,371.10,384.00,371.10,376.31,"7,456",377.30
87,SWMF,751.00,90,-3.80,-0.50,765.70,765.70,748.10,758.66,"1,748",754.80
88,UMRH,692.00,301,45.80,7.09,659.10,698.00,659.10,683.23,"241,276",646.20
89,PRVU,222.10,26,-2.20,-0.98,226.70,227.40,221.50,223.87,"74,166",224.30
90,CKHL,830.00,10,14.00,1.72,820.00,841.50,804.00,822.54,"24,998",816.00
91,GRDBL,"1,451.00",10,52.10,3.72,"1,397.90","1,498.70","1,371.00","1,462.88","51,704","1,398.90"
92,BHPL,985.10,50,-54.90,-5.28,"1,040.00","1,040.00",985.10,"1,005.85","20,956","1,040.00"
93,SCB,677.10,23,-3.90,-0.57,694.00,694.00,675.00,680.51,"4,795",681.00
94,KPCL,548.60,69,-5.40,-0.97,565.00,565.00,548.00,552.35,"23,847",554.00
95,SONA,475.50,20,-3.50,-0.73,475.00,483.00,473.00,477.04,"36,537",479.00
96,CYCL,"1,540.10",10,-3.00,-0.19,"1,515.00","1,569.80","1,515.00","1,536.97","3,299","1,543.10"
97,KMCDB,"1,049.00",25,-11.00,-1.04,"1,055.00","1,080.00","1,035.30","1,053.40","1,648","1,060.00"
98,HDHPC,199.90,300,0.90,0.45,200.90,202.50,199.30,200.97,"80,034",199.00
99,SARBTM,785.00,50,-1.50,-0.19,802.20,802.20,785.00,790.02,"35,762",786.50
100,ICFC,632.00,83,-8.00,-1.25,642.00,654.50,630.00,637.34,"19,556",640.00
101,SHPC,491.90,551,7.90,1.63,477.00,491.90,476.00,483.78,"85,583",484.00
102,PROFL,555.10,10,-2.90,-0.52,569.00,569.00,555.00,560.47,"24,116",558.00
103,LSL,211.70,55,-0.30,-0.14,213.90,216.00,210.00,213.22,"51,421",212.00
104,UNHPL,325.00,900,-0.30,-0.09,331.80,333.40,321.00,325.76,"94,707",325.30
105,SFCL,563.00,100,-17.00,-2.93,570.00,580.00,560.00,566.92,"54,340",580.00
106,CITY,922.90,10,-6.60,-0.71,935.00,944.00,920.00,924.84,"6,266",929.50
107,GBBL,390.20,50,4.20,1.09,389.00,392.00,380.20,389.34,"19,030",386.00
108,NRIC,900.00,10,-20.00,-2.17,938.40,938.40,891.00,901.03,"70,408",920.00
109,SBI,421.50,150,-0.50,-0.12,429.90,429.90,420.10,423.76,"19,693",422.00
110,NMBMF,689.60,18,-5.40,-0.78,685.00,697.70,685.00,689.83,314,695.00
111,JBBL,354.00,10,-2.00,-0.56,363.10,363.10,352.00,354.85,"34,257",356.00
112,KKHC,372.00,20,-5.00,-1.33,382.00,382.00,370.00,373.98,"36,352",377.00
113,KSBBL,445.00,226,-1.00,-0.22,451.00,452.00,440.00,442.63,"27,473",446.00
114,HDL,"1,177.00",14,-4.00,-0.34,"1,204.60","1,204.60","1,177.00","1,183.18","12,495","1,181.00"
115,PPCL,300.00,"1,100",-2.90,-0.96,304.50,304.50,297.00,300.59,"39,362",302.90
116,SPC,572.70,10,0.70,0.12,579.00,580.00,567.00,574.26,"41,063",572.00
117,AHL,832.00,100,15.00,1.84,833.00,833.00,816.00,822.68,"11,008",817.00
118,MHCL,555.00,480,5.00,0.91,560.00,560.00,548.50,553.17,"51,036",550.00
119,SALICO,735.00,58,-9.90,-1.33,742.00,750.00,732.00,741.00,"5,268",744.90
120,MNBBL,371.00,500,1.70,0.46,376.00,376.00,371.00,371.65,"14,422",369.30
121,PPL,632.00,10,22.20,3.64,621.90,635.00,601.10,621.19,"36,762",609.80
122,NICSF,9.20,500,-0.01,-0.11,9.20,9.95,9.20,9.58,"50,113",9.21
123,HATHY,"1,392.10",14,-11.10,-0.79,"1,400.10","1,427.80","1,385.10","1,400.87","25,009","1,403.20"
