SN,Symbol,LTP,LTV,Point Change,% Change,Open Price,High Price,Low Price,Avg Traded Price,Volume,Previous Closing
1,GMFBS,"1,771.00",10,4.00,0.23,"1,760.00","1,790.00","1,760.00","1,783.28","2,567","1,767.00"
2,CFCL,524.00,10,-14.00,-2.60,527.30,548.00,521.00,528.79,"32,679",538.00
3,UNHPL,321.30,100,-4.00,-1.23,331.80,333.40,321.00,325.94,"88,529",325.30
4,RLFL,511.60,224,-18.40,-3.47,530.00,534.50,511.60,521.99,"29,230",530.00
5,SAHAS,486.90,118,-4.10,-0.84,491.60,492.90,485.10,488.79,"115,385",491.00
6,MNBBL,371.00,20,1.70,0.46,376.00,376.00,371.00,371.69,"13,566",369.30
7,ICFC,631.00,225,-9.00,-1.41,642.00,654.50,630.00,638.09,"17,442",640.00
8,JFL,471.00,50,-38.00,-7.47,504.00,505.00,471.00,488.30,"119,036",509.00
9,LBBL,454.00,363,-10.00,-2.16,473.00,482.00,454.00,464.79,"14,503",464.00
10,NIFRA,266.60,490,0.60,0.23,269.00,272.00,264.00,268.92,"230,042",266.00
11,NRM,522.90,180,17.90,3.54,505.00,523.00,505.00,515.31,"123,536",505.00
12,GBBL,390.20,25,4.20,1.09,389.00,392.00,380.20,389.33,"18,761",386.00
13,TPC,565.00,391,-7.50,-1.31,570.00,581.40,565.00,571.07,"29,845",572.50
14,SMB,"2,800.00",10,158.00,5.98,"2,642.00","2,906.00","2,632.10","2,776.53","12,467","2,642.00"
15,BGWT,"1,070.00",20,2.10,0.20,"1,046.60","1,085.00","1,046.60","1,065.62","12,931","1,067.90"
16,RNLI,527.00,1,0.20,0.04,527.00,534.00,521.20,527.38,"31,065",526.80
17,CLI,737.00,10,26.50,3.73,710.00,744.90,703.30,727.40,"161,599",710.50
18,NRN,"1,201.00",17,-6.80,-0.56,"1,231.90","1,231.90","1,193.00","1,210.20","117,810","1,207.80"
19,NABIL,487.90,10,1.90,0.39,490.00,492.00,486.00,489.10,"31,885",486.00
20,RFPL,"1,071.20",10,-69.80,-6.12,"1,118.20","1,185.00","1,045.80","1,086.63","48,887","1,141.00"
21,UMRH,690.30,46,44.10,6.82,659.10,698.00,659.10,683.07,"236,183",646.20
22,CORBL,"1,862.00",10,104.20,5.93,"1,792.90","1,924.00","1,775.00","1,870.28","33,419","1,757.80"
23,SONA,474.50,10,-4.50,-0.94,475.00,483.00,473.00,477.28,"33,636",479.00
24,NHPC,221.00,87,-0.90,-0.41,224.30,225.90,220.00,222.61,"60,899",221.90
25,HURJA,236.00,100,0.00,0.00,238.00,239.00,234.20,237.09,"94,894",236.00
26,AHPC,264.00,200,5.70,2.21,262.90,267.20,258.00,263.90,"165,450",258.30
27,PFL,381.00,38,-17.90,-4.49,398.90,405.00,380.00,390.24,"126,280",398.90
28,SARBTM,785.10,38,-1.40,-0.18,802.20,802.20,785.00,790.25,"34,096",786.50
29,CHL,457.00,10,-1.00,-0.22,448.90,466.00,448.90,455.36,"29,393",458.00
30,RHGCL,606.40,10,-15.60,-2.51,634.40,634.40,606.40,611.75,"14,852",622.00
31,SNLI,650.50,12,8.50,1.32,640.00,658.00,638.70,648.41,"29,466",642.00
32,UNLB,"2,625.00",15,-65.00,-2.42,"2,638.00","2,689.00","2,614.00","2,632.37","2,187","2,690.00"
33,SMJC,575.00,10,3.00,0.52,583.00,583.00,571.00,575.87,"25,625",572.00
34,JBBL,352.00,20,-4.00,-1.12,363.10,363.10,352.00,354.90,"33,647",356.00
35,BARUN,447.00,184,1.00,0.22,454.90,454.90,446.00,449.24,"56,621",446.00
36,OHL,928.00,10,20.80,2.29,900.00,930.00,900.00,922.74,"3,464",907.20
37,KKHC,370.10,123,-6.90,-1.83,382.00,382.00,370.10,374.74,"29,969",377.00
38,API,276.90,185,0.90,0.33,270.50,280.00,270.50,276.82,"122,372",276.00
39,HRL,862.00,25,-14.00,-1.60,880.00,881.00,856.10,867.47,"121,731",876.00
40,HIDCL,253.10,142,-3.90,-1.52,257.00,264.90,253.00,257.68,"126,887",257.00
41,SRLI,429.00,10,-3.00,-0.69,433.30,437.00,429.00,432.78,"40,474",432.00
42,GBLBS,781.10,50,-8.90,-1.13,799.90,799.90,777.40,788.81,"2,803",790.00
43,SHEL,254.00,40,3.40,1.36,252.00,255.60,250.40,253.90,"153,289",250.60
44,UMHL,342.00,14,-2.70,-0.78,337.90,348.00,337.90,342.64,"38,633",344.70
45,NFS,765.00,200,-16.00,-2.05,766.00,790.00,764.00,775.23,"37,250",781.00
46,SPC,567.00,260,-5.00,-0.87,579.00,580.00,567.00,574.36,"40,403",572.00
47,KBL,200.90,11,-1.10,-0.54,198.00,205.00,198.00,202.05,"112,868",202.00
48,HATHY,"1,398.10",50,-5.10,-0.36,"1,400.10","1,427.80","1,385.10","1,401.45","21,339","1,403.20"
49,PPCL,300.10,20,-2.80,-0.92,304.50,304.50,297.00,300.61,"37,744",302.90
50,SJLIC,459.00,10,-0.50,-0.11,458.00,466.10,455.00,460.51,"16,641",459.50
51,DOLTI,887.00,10,-38.10,-4.12,906.60,"1,013.00",840.00,901.67,"93,570",925.10
52,ANLB,"4,898.00",1,-100.00,-2.00,"5,000.00","5,000.00","4,898.00","4,909.98",185,"4,998.00"
53,HLI,480.00,20,0.00,0.00,482.00,484.00,474.00,480.01,"34,729",480.00
54,TSHL,860.00,20,-3.00,-0.35,880.00,880.00,860.00,864.57,"1,520",863.00
55,UPPER,202.50,285,-2.40,-1.17,205.00,206.90,202.50,204.50,"72,751",204.90
56,NIBSF2,8.44,"3,710",-0.16,-1.86,8.45,8.45,8.44,8.44,"4,510",8.60
57,HBL,228.70,44,-0.30,-0.13,232.00,233.00,225.00,227.99,"21,931",229.00
58,MFIL,636.00,100,-1.00,-0.16,644.80,648.90,635.00,637.12,"10,740",637.00
59,SIKLES,989.00,10,74.00,8.09,920.00,995.00,915.30,967.14,"70,533",915.00
